fecha,hora,temperatura,consumo_MW_potencia
01/01/2021,23:30,"35,8",803
02/01/2021,1:00,"28,5",767
03/01/2021,23:30,31,726
04/01/2021,13:00,"30,4",814
05/01/2021,21:30,"22,3",679
06/01/2021,21:45,"28,2",716
07/01/2021,21:45,"33,9",772
08/01/2021,13:00,"30,2",755
09/01/2021,21:30,"32,3",739
10/01/2021,23:30,"35,5",784
11/01/2021,13:00,"29,9",794
12/01/2021,21:45,"27,4",758
13/01/2021,13:00,"33,5",829
14/01/2021,13:00,"34,3",903
15/01/2021,13:00,"33,8",862
16/01/2021,1:00,"26,1",760
17/01/2021,21:45,"30,5",700
18/01/2021,13:00,34,830
19/01/2021,14:00,"35,7",887
20/01/2021,13:00,"36,6",938
21/01/2021,14:00,"37,4",971
22/01/2021,14:00,"38,2",998
23/01/2021,14:00,"38,4",947
24/01/2021,23:30,"38,4",926
25/01/2021,15:00,"36,6",1057
26/01/2021,13:00,"32,6",934
27/01/2021,21:45,"32,9",893
28/01/2021,1:00,30,841
29/01/2021,13:00,"33,3",853
30/01/2021,1:00,"21,9",731
31/01/2021,22:15,22,624
01/02/2021,21:45,"19,8",690
02/02/2021,21:30,25,698
03/02/2021,21:45,30,724
04/02/2021,21:45,"33,2",779
05/02/2021,21:15,"34,6",818
06/02/2021,21:30,"36,5",816
07/02/2021,1:00,"35,4",719
08/02/2021,22:00,"17,5",686
09/02/2021,21:30,"22,1",694
10/02/2021,21:15,"27,3",715
11/02/2021,21:15,"30,4",749
12/02/2021,13:00,"30,5",736
13/02/2021,21:00,32,716
14/02/2021,20:30,"33,4",666
15/02/2021,21:30,"27,4",674
16/02/2021,21:45,"27,6",697
17/02/2021,21:45,32,776
18/02/2021,21:00,"31,6",793
19/02/2021,21:15,"23,6",725
20/02/2021,21:00,"29,1",723
21/02/2021,21:15,"31,7",717
22/02/2021,21:00,"27,4",757
23/02/2021,21:15,"33,3",797
24/02/2021,21:00,"33,5",846
25/02/2021,16:00,"35,1",916
26/02/2021,17:00,"36,4",971
27/02/2021,21:00,"32,3",827
28/02/2021,22:15,"32,1",794
01/03/2021,21:15,"31,9",815
02/03/2021,20:45,"29,4",786
03/03/2021,20:30,"32,5",833
04/03/2021,20:45,"35,3",888
05/03/2021,20:30,"33,6",915
06/03/2021,20:45,"35,9",882
07/03/2021,22:15,"36,5",846
08/03/2021,20:45,"26,8",790
09/03/2021,20:45,"32,7",873
10/03/2021,20:45,"35,6",930
11/03/2021,20:45,"28,5",830
12/03/2021,13:00,"26,7",794
13/03/2021,20:45,"29,9",746
14/03/2021,21:00,"28,2",697
15/03/2021,13:00,"26,8",734
16/03/2021,20:45,"27,8",737
17/03/2021,20:45,"19,1",706
18/03/2021,20:30,"14,8",747
19/03/2021,21:15,"21,3",724
20/03/2021,21:15,24,688
21/03/2021,21:00,"26,1",660
22/03/2021,21:00,"25,8",724
23/03/2021,20:45,29,746
24/03/2021,20:45,"27,5",722
25/03/2021,20:30,"20,6",740
26/03/2021,20:45,"19,3",724
27/03/2021,21:00,"24,4",685
28/03/2021,21:15,"26,4",650
29/03/2021,20:45,28,734
30/03/2021,20:15,29,735
31/03/2021,20:30,"28,2",741
01/04/2021,20:15,"27,5",729
02/04/2021,21:30,"28,6",664
03/04/2021,20:30,30,706
04/04/2021,21:15,"29,3",657
05/04/2021,20:30,30,706
06/04/2021,20:15,"28,9",767
07/04/2021,20:15,"22,8",737
08/04/2021,20:45,"23,6",729
09/04/2021,20:30,"17,7",733
10/04/2021,20:15,"13,5",706
11/04/2021,22:00,"23,2",675
12/04/2021,21:15,"25,8",729
13/04/2021,21:15,"27,1",741
14/04/2021,20:45,"27,7",739
15/04/2021,20:30,"29,3",747
16/04/2021,20:15,"29,2",738
17/04/2021,20:15,"27,4",684
18/04/2021,21:15,"28,1",663
19/04/2021,20:00,30,770
20/04/2021,20:00,"29,3",746
21/04/2021,20:45,"23,7",732
22/04/2021,21:00,"21,4",737
23/04/2021,20:30,"23,6",737
24/04/2021,20:45,"22,1",699
25/04/2021,21:15,"24,1",666
26/04/2021,21:00,25,726
27/04/2021,20:45,"25,5",732
28/04/2021,20:15,"26,5",741
29/04/2021,21:00,"26,7",732
30/04/2021,20:00,"24,4",837
01/05/2021,21:15,"23,4",744
02/05/2021,21:15,"22,9",664
03/05/2021,21:15,"20,2",734
04/05/2021,20:30,"12,8",796
05/05/2021,21:30,"16,9",806
06/05/2021,21:30,"19,9",800
07/05/2021,11:00,"19,8",778
08/05/2021,21:15,"19,4",731
09/05/2021,21:45,"18,1",711
10/05/2021,21:00,"18,6",791
11/05/2021,21:30,"19,3",792
12/05/2021,21:15,"21,6",790
13/05/2021,21:15,"21,5",781
14/05/2021,21:15,"22,7",763
15/05/2021,21:00,"22,1",726
