fecha,hora,temperatura,consumo_MW_potencia
01/01/2020,23:30,"32,1",787
02/01/2020,17:30,"35,8",932
03/01/2020,14:00,"37,4",974
04/01/2020,14:00,"37,6",927
05/01/2020,1:00,"34,9",794
06/01/2020,21:30,"28,7",777
07/01/2020,23:30,"34,3",834
08/01/2020,13:00,"38,4",932
09/01/2020,23:30,"33,5",875
10/01/2020,21:45,"30,9",840
11/01/2020,21:15,"36,3",858
12/01/2020,23:30,"31,7",815
13/01/2020,13:00,"35,8",945
14/01/2020,23:30,"33,8",937
15/01/2020,1:00,"28,1",870
16/01/2020,21:30,"28,9",783
17/01/2020,21:30,"33,6",824
18/01/2020,21:30,35,836
19/01/2020,23:30,"35,2",874
20/01/2020,13:00,"38,4",1069
21/01/2020,14:00,"34,9",967
22/01/2020,13:00,"36,6",979
23/01/2020,16:00,"38,4",1043
24/01/2020,17:30,"35,9",986
25/01/2020,16:00,"37,2",927
26/01/2020,1:00,"36,4",862
27/01/2020,14:00,"34,3",947
28/01/2020,14:00,"34,8",988
29/01/2020,21:45,"29,6",805
30/01/2020,21:30,33,882
31/01/2020,17:00,"36,3",922
01/02/2020,21:15,"37,6",892
02/02/2020,0:00,"36,5",874
03/02/2020,15:00,"38,4",1071
04/02/2020,13:00,34,971
05/02/2020,21:45,"26,8",799
06/02/2020,21:30,"30,4",850
07/02/2020,1:00,"28,5",775
08/02/2020,21:15,"29,7",721
09/02/2020,21:30,"24,7",657
10/02/2020,21:30,"25,6",710
11/02/2020,21:15,"29,9",760
12/02/2020,21:30,"32,7",815
13/02/2020,21:30,"22,9",720
14/02/2020,21:15,"30,4",781
15/02/2020,21:00,"35,9",806
16/02/2020,22:15,"35,4",813
17/02/2020,12:00,"28,7",842
18/02/2020,21:15,"28,8",793
19/02/2020,21:30,"33,5",843
20/02/2020,21:00,"28,7",782
21/02/2020,21:00,"23,2",739
22/02/2020,21:45,28,727
23/02/2020,21:30,"30,8",704
24/02/2020,21:00,"32,1",720
25/02/2020,21:30,30,748
26/02/2020,21:00,"32,6",824
27/02/2020,20:45,"35,2",875
28/02/2020,20:30,"35,6",883
29/02/2020,20:45,"35,5",852
01/03/2020,22:15,"35,9",803
03/03/2020,20:45,"36,9",972
04/03/2020,16:00,"37,9",987
05/03/2020,20:45,"36,9",1089
06/03/2020,17:00,"35,8",1022
07/03/2020,21:00,"37,5",972
08/03/2020,22:30,"32,9",948
09/03/2020,21:00,"33,5",946
10/03/2020,20:45,"33,1",947
11/03/2020,13:00,"32,7",967
12/03/2020,21:15,"32,1",923
13/03/2020,21:00,"35,5",976
14/03/2020,1:00,"28,4",856
15/03/2020,20:45,"27,7",720
16/03/2020,20:45,"30,8",811
17/03/2020,20:45,"28,2",802
18/03/2020,20:30,"29,2",810
19/03/2020,20:45,"31,8",813
20/03/2020,21:00,"32,9",787
21/03/2020,20:45,"33,4",775
22/03/2020,20:30,"34,1",734
23/03/2020,20:30,"34,3",795
24/03/2020,20:15,"34,6",802
25/03/2020,21:15,"25,7",691
26/03/2020,21:00,"26,6",708
27/03/2020,21:00,"29,4",717
28/03/2020,21:00,"30,1",706
29/03/2020,21:15,"26",669
30/03/2020,20:45,"24,9",693
31/03/2020,20:30,"21",666
01/04/2020,21:00,"22,9",677
02/04/2020,21:00,"25,5",695
03/04/2020,21:00,"27,4",683
04/04/2020,20:30,"26,6",655
05/04/2020,21:00,"27,1",638
06/04/2020,20:30,"20,3",687
07/04/2020,20:15,"21,8",687
08/04/2020,20:45,"25,1",695
09/04/2020,20:15,"25,7",680
10/04/2020,21:00,"26,7",637
11/04/2020,20:45,"25,6",652
12/04/2020,21:00,"22,1",610
13/04/2020,21:15,22,678
14/04/2020,21:00,"24,1",690
15/04/2020,20:30,"26,3",683
16/04/2020,20:15,"27,2",671
17/04/2020,20:00,"28,5",665
18/04/2020,20:15,"29,7",642
19/04/2020,21:00,"29,4",619
20/04/2020,21:15,"26,9",663
21/04/2020,20:15,"24,5",673
22/04/2020,20:30,"25,1",672
23/04/2020,21:15,"27,6",668
24/04/2020,20:00,"24,2",665
25/04/2020,20:45,"21,3",646
26/04/2020,20:45,"20,9",624
27/04/2020,21:15,"19,1",669
28/04/2020,21:15,"21,7",673
29/04/2020,,,
30/04/2020,,,
01/05/2020,20:45,"22,4",619
02/05/2020,21:00,"24,5",643
03/05/2020,20:45,"26,7",619
04/05/2020,21:15,"23,4",669
05/05/2020,21:30,"15,1",706
06/05/2020,21:15,"18,7",724
07/05/2020,21:30,"20,9",725
08/05/2020,21:00,"22,6",707
09/05/2020,21:00,"24,4",674
10/05/2020,21:30,"24,3",641
11/05/2020,21:15,"21,9",709
12/05/2020,20:45,"21,9",715
13/05/2020,20:30,"18,1",743
14/05/2020,20:45,"19,5",740
15/05/2020,20:30,"24,6",708
16/05/2020,20:30,"27,3",665
17/05/2020,21:15,"27,5",636
18/05/2020,21:15,26,692
19/05/2020,21:00,25,708
20/05/2020,21:15,"16,2",749
21/05/2020,21:15,"11,4",800
22/05/2020,21:30,"13,1",817
23/05/2020,21:00,16,771
24/05/2020,21:30,"22,1",699
25/05/2020,21:00,"22,7",693
26/05/2020,21:15,"24,1",729
27/05/2020,20:45,"23,1",729
28/05/2020,21:30,"21,3",742
29/05/2020,21:15,"18,6",745
30/05/2020,21:30,"13,6",743
31/05/2020,21:15,"15,5",751
01/06/2020,21:15,"17,1",797
02/06/2020,21:15,"17,9",791
03/06/2020,21:15,"8,9",856
04/06/2020,21:15,"13,8",784
05/06/2020,20:45,"17,9",778
06/06/2020,20:30,"20,4",728
07/06/2020,21:30,"18,1",708
08/06/2020,21:00,"19,7",779
09/06/2020,21:15,20,770
10/06/2020,21:15,"20,7",759
11/06/2020,21:00,"22,8",754
12/06/2020,20:45,"17,5",745
13/06/2020,21:15,"14,7",745
14/06/2020,22:00,"15,8",730
15/06/2020,21:15,"16,6",760
16/06/2020,21:45,"17,9",791
17/06/2020,21:30,"16,5",799
18/06/2020,21:15,"17,5",796
19/06/2020,21:00,"21,1",740
20/06/2020,21:00,"19,7",722
21/06/2020,22:00,"16,8",701
22/06/2020,21:00,"17,7",768
23/06/2020,21:30,"14,8",775
24/06/2020,21:15,"8,4",811
25/06/2020,21:30,14,817
26/06/2020,21:15,"14,5",817
27/06/2020,21:30,"12,7",789
28/06/2020,22:00,"7,9",807
29/06/2020,21:30,14,879
30/06/2020,21:15,"12,3",884
01/07/2020,21:15,"13,9",860
02/07/2020,21:15,"15,4",852
03/07/2020,21:15,15,831
04/07/2020,20:00,"10,3",841
05/07/2020,21:30,"13,5",805
06/07/2020,21:30,"9,7",877
07/07/2020,21:15,"12,9",862
08/07/2020,20:45,"14,2",872
09/07/2020,21:45,"13,1",836
10/07/2020,21:00,"15,5",822
11/07/2020,21:15,"16,2",878
12/07/2020,21:15,"14,8",777
13/07/2020,21:15,"6,9",900
14/07/2020,21:00,"14,1",892
15/07/2020,21:30,"16,4",865
16/07/2020,21:15,"19,2",832
17/07/2020,21:00,"18,5",825
18/07/2020,21:00,"20,5",751
19/07/2020,21:30,"20,6",710
20/07/2020,21:45,"14,9",775
21/07/2020,21:15,"10,5",841
22/07/2020,21:00,"9,7",887
23/07/2020,21:45,"10,5",890
24/07/2020,21:00,"13,2",870
25/07/2020,21:15,"16,6",826
26/07/2020,21:30,"21,4",769
27/07/2020,21:15,"13,7",852
28/07/2020,21:15,"14,1",864
29/07/2020,21:30,"16,6",875
30/07/2020,21:15,17,853
31/07/2020,21:30,"18,2",811
01/08/2020,21:15,"21,4",766
02/08/2020,21:30,"21,5",713
03/08/2020,21:15,"21,4",751
04/08/2020,21:30,"21,3",737
05/08/2020,21:30,"22,3",739
06/08/2020,21:15,"14,1",792
07/08/2020,21:00,"17,3",780
08/08/2020,21:15,"21,4",732
09/08/2020,21:15,"24,4",686
10/08/2020,21:15,22,742
11/08/2020,21:15,"13,7",940
12/08/2020,21:15,"16,7",944
13/08/2020,21:45,20,930
14/08/2020,22:15,"17,6",903
15/08/2020,21:45,"19,9",897
16/08/2020,22:00,"21,5",889
17/08/2020,21:30,"21,7",922
18/08/2020,21:45,"18,5",967
19/08/2020,11:00,"9,1",861
20/08/2020,21:45,14,847
21/08/2020,21:30,18,811
22/08/2020,21:45,"19,4",754
23/08/2020,21:45,"20,6",724
24/08/2020,21:15,22,762
25/08/2020,21:15,"22,2",764
26/08/2020,12:00,"15,1",807
27/08/2020,11:00,"19,9",801
28/08/2020,13:00,"23,1",761
29/08/2020,21:00,"15,8",748
30/08/2020,22:00,"17,7",723
31/08/2020,21:30,"20,3",762
01/09/2020,12:00,"18,5",781
02/09/2020,21:45,"19,1",774
03/09/2020,11:00,"22,3",763
04/09/2020,11:00,"18,3",798
05/09/2020,21:00,"18,5",732
06/09/2020,21:15,"18,1",708
07/09/2020,21:30,"20,8",744
08/09/2020,11:00,"26,3",766
09/09/2020,12:00,"23,7",745
10/09/2020,12:00,"28,3",708
11/09/2020,9:00,"20,6",826
12/09/2020,21:00,"25,9",763
13/09/2020,20:30,"22,1",744
14/09/2020,21:15,"22,5",788
15/09/2020,21:15,"26,2",804
16/09/2020,21:15,"25,1",791
17/09/2020,20:45,"30,5",740
18/09/2020,20:30,"23,4",761
19/09/2020,21:30,"18,5",761
20/09/2020,22:15,"23,6",751
21/09/2020,21:30,"25,7",795
22/09/2020,21:00,"27,9",773
23/09/2020,21:00,"27,9",784
24/09/2020,20:30,"30,6",793
25/09/2020,20:15,"29,1",751
26/09/2020,21:00,"22,4",741
27/09/2020,21:30,"23,4",723
28/09/2020,21:30,27,769
29/09/2020,21:30,"30,5",768
30/09/2020,20:30,"28,5",807
01/10/2020,20:45,"20,3",806
02/10/2020,20:15,"20,2",826
03/10/2020,21:15,"9,9",822
04/10/2020,21:30,"13,3",812
05/10/2020,21:30,21,818
06/10/2020,20:45,"27,2",803
07/10/2020,21:00,"24,4",799
08/10/2020,21:30,"27,2",765
09/10/2020,20:30,"27,2",774
10/10/2020,20:45,"34,9",740
11/10/2020,21:15,"23,9",694
12/10/2020,21:15,"29",795
13/10/2020,21:00,"32,4",782
14/10/2020,13:00,"28,5",740
15/10/2020,13:00,"29,4",763
16/10/2020,11:00,"31,2",758
17/10/2020,21:00,"35,9",728
18/10/2020,20:45,"34,3",687
19/10/2020,13:00,"28",755
20/10/2020,13:00,"26,7",758
21/10/2020,12:00,"23,5",756
22/10/2020,13:00,"27,5",731
23/10/2020,13:00,"30,7",750
24/10/2020,20:30,"33,4",721
25/10/2020,21:15,"20,8",641
26/10/2020,21:30,"28,3",721
27/10/2020,13:00,"30,3",738
28/10/2020,12:00,"24,5",736
29/10/2020,12:00,"21,8",753
30/10/2020,13:00,"27,8",752
31/10/2020,21:00,"30,6",690
01/11/2020,21:30,"31,7",665
02/11/2020,13:00,"33,7",758
03/11/2020,13:00,"35,2",786
04/11/2020,13:00,"34,8",817
05/11/2020,13:00,"26,8",757
06/11/2020,13:00,"31",774
07/11/2020,21:00,"31,4",727
08/11/2020,21:30,"33,1",679
09/11/2020,13:00,"31,1",757
10/11/2020,13:00,"29,4",736
11/11/2020,13:00,"30,9",758
12/11/2020,13:00,"32,3",810
13/11/2020,13:00,"31,4",734
14/11/2020,21:15,"19,9",637
15/11/2020,21:30,"27,4",627
16/11/2020,21:15,"31,2",723
17/11/2020,21:30,"22",683
18/11/2020,21:15,"29,9",708
19/11/2020,13:00,"29",727
20/11/2020,13:00,"30",728
21/11/2020,21:15,"29,7",694
22/11/2020,21:45,"33,6",690
23/11/2020,22:15,"35,4",755
24/11/2020,13:00,"29,6",789
25/11/2020,21:15,"29,9",765
26/11/2020,21:30,"26,9",738
27/11/2020,13:00,"33,3",855
28/11/2020,21:15,"34,1",775
29/11/2020,1:00,"29,7",693
30/11/2020,13:00,"31,3",792
01/12/2020,13:00,"32,3",841
02/12/2020,13:00,"30,4",770
03/12/2020,13:00,"29,4",772
04/12/2020,13:00,"28,5",766
05/12/2020,21:15,"29,4",704
06/12/2020,21:30,"32,4",693
07/12/2020,23:30,"34,6",762
08/12/2020,23:30,"37,3",843
09/12/2020,13:00,"34,7",885
10/12/2020,13:00,"38,4",1029
11/12/2020,1:00,"29,3",846
12/12/2020,21:30,"37,8",810
