lp,Residuo tipo,Kg,Origen,Comentarios,,,,,,,,,,,,,,,,
9/7/2019,Tetra,138,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Pet cristal,302,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Pet color,60,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Cartón,1399,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Cartón segunda,768,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Diario,135,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Revista,50,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Planilla blanca,307,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Vidrio,3085,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Tapitas,31,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Aluminio,109,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Plástico,252,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Nylon,71,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Hojalata,270,Recolección Diferenciada,,,,,,,,,,,,,,,,,
9/7/2019,Rechazo (basura),7355,Recolección Diferenciada,,,,,,,,,,,,,,,,,
14/8/2019,Pet cristal,120,Puntos Verdes,,,,,,,,,,,,,,,,,
14/8/2019,Pet color,23,Puntos Verdes,,,,,,,,,,,,,,,,,
14/8/2019,Plástico,46,Puntos Verdes,,,,,,,,,,,,,,,,,
14/8/2019,Cartón,148,Puntos Verdes,,,,,,,,,,,,,,,,,
14/8/2019,Diario,21,Puntos Verdes,,,,,,,,,,,,,,,,,
14/8/2019,Revista,39,Puntos Verdes,,,,,,,,,,,,,,,,,
14/8/2019,Cartón segunda,119,Puntos Verdes,,,,,,,,,,,,,,,,,
